Title: Rainfall of Kharif-1 (Mid March - Mid June) season of Jessore (11407) station during year 1992 to 2022,,,,
,,,,
SL.,Station,Year,Month,Total Rainfall (mm)
1,Jessore (11407),1992,1,0
2,Jessore (11407),1992,2,0
3,Jessore (11407),1992,3,0
4,Jessore (11407),1992,4,1
5,Jessore (11407),1992,5,223
6,Jessore (11407),1992,6,303
7,Jessore (11407),1992,7,136
8,Jessore (11407),1992,8,0
9,Jessore (11407),1992,9,0
10,Jessore (11407),1992,10,0
11,Jessore (11407),1992,11,0
12,Jessore (11407),1992,12,0
13,Jessore (11407),1993,1,0
14,Jessore (11407),1993,2,0
15,Jessore (11407),1993,3,115
16,Jessore (11407),1993,4,147
17,Jessore (11407),1993,5,132
18,Jessore (11407),1993,6,437
19,Jessore (11407),1993,7,54
20,Jessore (11407),1993,8,0
21,Jessore (11407),1993,9,0
22,Jessore (11407),1993,10,0
23,Jessore (11407),1993,11,0
24,Jessore (11407),1993,12,0
25,Jessore (11407),1994,1,0
26,Jessore (11407),1994,2,0
27,Jessore (11407),1994,3,1
28,Jessore (11407),1994,4,51
29,Jessore (11407),1994,5,175
30,Jessore (11407),1994,6,365
31,Jessore (11407),1994,7,140
32,Jessore (11407),1994,8,0
33,Jessore (11407),1994,9,0
34,Jessore (11407),1994,10,0
35,Jessore (11407),1994,11,0
36,Jessore (11407),1994,12,0
37,Jessore (11407),1995,1,0
38,Jessore (11407),1995,2,0
39,Jessore (11407),1995,3,18
40,Jessore (11407),1995,4,5
41,Jessore (11407),1995,5,88
42,Jessore (11407),1995,6,196
43,Jessore (11407),1995,7,168
44,Jessore (11407),1995,8,0
45,Jessore (11407),1995,9,0
46,Jessore (11407),1995,10,0
47,Jessore (11407),1995,11,0
48,Jessore (11407),1995,12,0
49,Jessore (11407),1996,1,0
50,Jessore (11407),1996,2,0
51,Jessore (11407),1996,3,22
52,Jessore (11407),1996,4,90
53,Jessore (11407),1996,5,146
54,Jessore (11407),1996,6,350
55,Jessore (11407),1996,7,107
56,Jessore (11407),1996,8,0
57,Jessore (11407),1996,9,0
58,Jessore (11407),1996,10,0
59,Jessore (11407),1996,11,0
60,Jessore (11407),1996,12,0
61,Jessore (11407),1997,1,0
62,Jessore (11407),1997,2,0
63,Jessore (11407),1997,3,45
64,Jessore (11407),1997,4,64
65,Jessore (11407),1997,5,116
66,Jessore (11407),1997,6,231
67,Jessore (11407),1997,7,206
68,Jessore (11407),1997,8,0
69,Jessore (11407),1997,9,0
70,Jessore (11407),1997,10,0
71,Jessore (11407),1997,11,0
72,Jessore (11407),1997,12,0
73,Jessore (11407),1998,1,0
74,Jessore (11407),1998,2,0
75,Jessore (11407),1998,3,124
76,Jessore (11407),1998,4,130
77,Jessore (11407),1998,5,216
78,Jessore (11407),1998,6,163
79,Jessore (11407),1998,7,98
80,Jessore (11407),1998,8,0
81,Jessore (11407),1998,9,0
82,Jessore (11407),1998,10,0
83,Jessore (11407),1998,11,0
84,Jessore (11407),1998,12,0
85,Jessore (11407),1999,1,0
86,Jessore (11407),1999,2,0
87,Jessore (11407),1999,3,0
88,Jessore (11407),1999,4,22
89,Jessore (11407),1999,5,141
90,Jessore (11407),1999,6,244
91,Jessore (11407),1999,7,234
92,Jessore (11407),1999,8,0
93,Jessore (11407),1999,9,0
94,Jessore (11407),1999,10,0
95,Jessore (11407),1999,11,0
96,Jessore (11407),1999,12,0
97,Jessore (11407),2000,1,0
98,Jessore (11407),2000,2,0
99,Jessore (11407),2000,3,5
100,Jessore (11407),2000,4,74
101,Jessore (11407),2000,5,164
102,Jessore (11407),2000,6,209
103,Jessore (11407),2000,7,104
104,Jessore (11407),2000,8,0
105,Jessore (11407),2000,9,0
106,Jessore (11407),2000,10,0
107,Jessore (11407),2000,11,0
108,Jessore (11407),2000,12,0
109,Jessore (11407),2001,1,0
110,Jessore (11407),2001,2,0
111,Jessore (11407),2001,3,35
112,Jessore (11407),2001,4,29
113,Jessore (11407),2001,5,317
114,Jessore (11407),2001,6,498
115,Jessore (11407),2001,7,174
116,Jessore (11407),2001,8,0
117,Jessore (11407),2001,9,0
118,Jessore (11407),2001,10,0
119,Jessore (11407),2001,11,0
120,Jessore (11407),2001,12,0
121,Jessore (11407),2002,1,0
122,Jessore (11407),2002,2,0
123,Jessore (11407),2002,3,18
124,Jessore (11407),2002,4,161
125,Jessore (11407),2002,5,264
126,Jessore (11407),2002,6,535
127,Jessore (11407),2002,7,257
128,Jessore (11407),2002,8,0
129,Jessore (11407),2002,9,0
130,Jessore (11407),2002,10,0
131,Jessore (11407),2002,11,0
132,Jessore (11407),2002,12,0
133,Jessore (11407),2003,1,0
134,Jessore (11407),2003,2,0
135,Jessore (11407),2003,3,94
136,Jessore (11407),2003,4,49
137,Jessore (11407),2003,5,72
138,Jessore (11407),2003,6,404
139,Jessore (11407),2003,7,229
140,Jessore (11407),2003,8,0
141,Jessore (11407),2003,9,0
142,Jessore (11407),2003,10,0
143,Jessore (11407),2003,11,0
144,Jessore (11407),2003,12,0
145,Jessore (11407),2004,1,0
146,Jessore (11407),2004,2,0
147,Jessore (11407),2004,3,2
148,Jessore (11407),2004,4,70
149,Jessore (11407),2004,5,138
150,Jessore (11407),2004,6,305
151,Jessore (11407),2004,7,262
152,Jessore (11407),2004,8,0
153,Jessore (11407),2004,9,0
154,Jessore (11407),2004,10,0
155,Jessore (11407),2004,11,0
156,Jessore (11407),2004,12,0
157,Jessore (11407),2005,1,0
158,Jessore (11407),2005,2,0
159,Jessore (11407),2005,3,125
160,Jessore (11407),2005,4,31
161,Jessore (11407),2005,5,59
162,Jessore (11407),2005,6,141
163,Jessore (11407),2005,7,412
164,Jessore (11407),2005,8,0
165,Jessore (11407),2005,9,0
166,Jessore (11407),2005,10,0
167,Jessore (11407),2005,11,0
168,Jessore (11407),2005,12,0
169,Jessore (11407),2006,1,0
170,Jessore (11407),2006,2,0
171,Jessore (11407),2006,3,1
172,Jessore (11407),2006,4,52
173,Jessore (11407),2006,5,302
174,Jessore (11407),2006,6,214
175,Jessore (11407),2006,7,315
176,Jessore (11407),2006,8,0
177,Jessore (11407),2006,9,0
178,Jessore (11407),2006,10,0
179,Jessore (11407),2006,11,0
180,Jessore (11407),2006,12,0
181,Jessore (11407),2007,1,0
182,Jessore (11407),2007,2,0
183,Jessore (11407),2007,3,1
184,Jessore (11407),2007,4,62
185,Jessore (11407),2007,5,159
186,Jessore (11407),2007,6,289
187,Jessore (11407),2007,7,333
188,Jessore (11407),2007,8,0
189,Jessore (11407),2007,9,0
190,Jessore (11407),2007,10,0
191,Jessore (11407),2007,11,0
192,Jessore (11407),2007,12,0
193,Jessore (11407),2008,1,0
194,Jessore (11407),2008,2,0
195,Jessore (11407),2008,3,21
196,Jessore (11407),2008,4,39
197,Jessore (11407),2008,5,208
198,Jessore (11407),2008,6,242
199,Jessore (11407),2008,7,339
200,Jessore (11407),2008,8,0
201,Jessore (11407),2008,9,0
202,Jessore (11407),2008,10,0
203,Jessore (11407),2008,11,0
204,Jessore (11407),2008,12,0
205,Jessore (11407),2009,1,0
206,Jessore (11407),2009,2,0
207,Jessore (11407),2009,3,33
208,Jessore (11407),2009,4,0
209,Jessore (11407),2009,5,170
210,Jessore (11407),2009,6,169
211,Jessore (11407),2009,7,178
212,Jessore (11407),2009,8,0
213,Jessore (11407),2009,9,0
214,Jessore (11407),2009,10,0
215,Jessore (11407),2009,11,0
216,Jessore (11407),2009,12,0
217,Jessore (11407),2010,1,0
218,Jessore (11407),2010,2,0
219,Jessore (11407),2010,3,11
220,Jessore (11407),2010,4,37
221,Jessore (11407),2010,5,264
222,Jessore (11407),2010,6,329
223,Jessore (11407),2010,7,58
224,Jessore (11407),2010,8,0
225,Jessore (11407),2010,9,0
226,Jessore (11407),2010,10,0
227,Jessore (11407),2010,11,0
228,Jessore (11407),2010,12,0
229,Jessore (11407),2011,1,0
230,Jessore (11407),2011,2,0
231,Jessore (11407),2011,3,28
232,Jessore (11407),2011,4,33
233,Jessore (11407),2011,5,132
234,Jessore (11407),2011,6,314
235,Jessore (11407),2011,7,105
236,Jessore (11407),2011,8,0
237,Jessore (11407),2011,9,0
238,Jessore (11407),2011,10,0
239,Jessore (11407),2011,11,0
240,Jessore (11407),2011,12,0
241,Jessore (11407),2012,1,0
242,Jessore (11407),2012,2,0
243,Jessore (11407),2012,3,5
244,Jessore (11407),2012,4,82
245,Jessore (11407),2012,5,36
246,Jessore (11407),2012,6,221
247,Jessore (11407),2012,7,174
248,Jessore (11407),2012,8,0
249,Jessore (11407),2012,9,0
250,Jessore (11407),2012,10,0
251,Jessore (11407),2012,11,0
252,Jessore (11407),2012,12,0
253,Jessore (11407),2013,1,0
254,Jessore (11407),2013,2,0
255,Jessore (11407),2013,3,8
256,Jessore (11407),2013,4,63
257,Jessore (11407),2013,5,278
258,Jessore (11407),2013,6,203
259,Jessore (11407),2013,7,96
260,Jessore (11407),2013,8,0
261,Jessore (11407),2013,9,0
262,Jessore (11407),2013,10,0
263,Jessore (11407),2013,11,0
264,Jessore (11407),2013,12,0
265,Jessore (11407),2014,1,0
266,Jessore (11407),2014,2,0
267,Jessore (11407),2014,3,10
268,Jessore (11407),2014,4,0
269,Jessore (11407),2014,5,165
270,Jessore (11407),2014,6,286
271,Jessore (11407),2014,7,312
272,Jessore (11407),2014,8,0
273,Jessore (11407),2014,9,0
274,Jessore (11407),2014,10,0
275,Jessore (11407),2014,11,0
276,Jessore (11407),2014,12,0
277,Jessore (11407),2015,1,0
278,Jessore (11407),2015,2,0
279,Jessore (11407),2015,3,4
280,Jessore (11407),2015,4,108
281,Jessore (11407),2015,5,125
282,Jessore (11407),2015,6,379
283,Jessore (11407),2015,7,275
284,Jessore (11407),2015,8,0
285,Jessore (11407),2015,9,0
286,Jessore (11407),2015,10,0
287,Jessore (11407),2015,11,0
288,Jessore (11407),2015,12,0
289,Jessore (11407),2016,1,0
290,Jessore (11407),2016,2,0
291,Jessore (11407),2016,3,60
292,Jessore (11407),2016,4,10
293,Jessore (11407),2016,5,269
294,Jessore (11407),2016,6,241
295,Jessore (11407),2016,7,161
296,Jessore (11407),2016,8,0
297,Jessore (11407),2016,9,0
298,Jessore (11407),2016,10,0
299,Jessore (11407),2016,11,0
300,Jessore (11407),2016,12,0
301,Jessore (11407),2017,1,0
302,Jessore (11407),2017,2,0
303,Jessore (11407),2017,3,7
304,Jessore (11407),2017,4,138
305,Jessore (11407),2017,5,186
306,Jessore (11407),2017,6,245
307,Jessore (11407),2017,7,280
308,Jessore (11407),2017,8,0
309,Jessore (11407),2017,9,0
310,Jessore (11407),2017,10,0
311,Jessore (11407),2017,11,0
312,Jessore (11407),2017,12,0
313,Jessore (11407),2018,1,0
314,Jessore (11407),2018,2,0
315,Jessore (11407),2018,3,10
316,Jessore (11407),2018,4,186
317,Jessore (11407),2018,5,148
318,Jessore (11407),2018,6,101
319,Jessore (11407),2018,7,167
320,Jessore (11407),2018,8,0
321,Jessore (11407),2018,9,0
322,Jessore (11407),2018,10,0
323,Jessore (11407),2018,11,0
324,Jessore (11407),2018,12,0
325,Jessore (11407),2019,1,0
326,Jessore (11407),2019,2,0
327,Jessore (11407),2019,3,29
328,Jessore (11407),2019,4,173
329,Jessore (11407),2019,5,122
330,Jessore (11407),2019,6,134
331,Jessore (11407),2019,7,133
332,Jessore (11407),2019,8,0
333,Jessore (11407),2019,9,0
334,Jessore (11407),2019,10,0
335,Jessore (11407),2019,11,0
336,Jessore (11407),2019,12,0
337,Jessore (11407),2020,1,0
338,Jessore (11407),2020,2,0
339,Jessore (11407),2020,3,26
340,Jessore (11407),2020,4,82
341,Jessore (11407),2020,5,251
342,Jessore (11407),2020,6,347
343,Jessore (11407),2020,7,96
344,Jessore (11407),2020,8,0
345,Jessore (11407),2020,9,0
346,Jessore (11407),2020,10,0
347,Jessore (11407),2020,11,0
348,Jessore (11407),2020,12,0
349,Jessore (11407),2021,1,0
350,Jessore (11407),2021,2,0
351,Jessore (11407),2021,3,0
352,Jessore (11407),2021,4,99
353,Jessore (11407),2021,5,159
354,Jessore (11407),2021,6,365
355,Jessore (11407),2021,7,101
356,Jessore (11407),2021,8,0
357,Jessore (11407),2021,9,0
358,Jessore (11407),2021,10,0
359,Jessore (11407),2021,11,0
360,Jessore (11407),2021,12,0
361,Jessore (11407),2022,1,0
362,Jessore (11407),2022,2,0
363,Jessore (11407),2022,3,0
364,Jessore (11407),2022,4,19
365,Jessore (11407),2022,5,182
366,Jessore (11407),2022,6,72
367,Jessore (11407),2022,7,41
368,Jessore (11407),2022,8,0
369,Jessore (11407),2022,9,0
370,Jessore (11407),2022,10,0
371,Jessore (11407),2022,11,0
372,Jessore (11407),2022,12,0
